,raw
0,0.5
1,0.54
2,0.55
3,0.6
4,0.555
5,0.515
6,0.59
7,0.59
8,0.61
9,0.62
10,0.58
11,0.58
12,0.575
13,0.555
14,0.61
15,0.555
16,0.595
17,0.605
18,0.6
19,0.645
20,0.51
21,0.63
22,0.65
23,0.62
24,0.66
25,0.55
26,0.66
27,0.665
28,0.66
29,0.72
30,0.585
31,0.68
32,0.665
33,0.7
34,0.76
35,0.61
36,0.66
37,0.75
38,0.705
39,0.715
40,0.555
41,0.7
42,0.71
43,0.725
44,0.735
45,0.64
46,0.715
47,0.715
48,0.695
49,0.755
50,0.625
51,0.73
52,0.75
53,0.75
54,0.735
55,0.605
56,0.7
57,0.74
58,0.695
59,0.77
60,0.62
61,0.73
62,0.775
63,0.71
64,0.735
65,0.63
66,0.69
67,0.79
68,0.75
69,0.755
70,0.645
71,0.715
72,0.73
73,0.775
74,0.74
75,0.62
76,0.715
77,0.745
78,0.725
79,0.775
80,0.655
81,0.72
82,0.78
83,0.8
84,0.755
85,0.64
86,0.73
87,0.765
88,0.755
89,0.76
90,0.65
91,0.7
92,0.74
93,0.785
94,0.775
95,0.695
96,0.73
97,0.735
98,0.76
99,0.775
100,0.68
101,0.735
102,0.79
103,0.775
104,0.77
105,0.685
106,0.73
107,0.785
108,0.8
109,0.765
110,0.655
111,0.765
112,0.785
113,0.79
114,0.805
115,0.685
116,0.75
117,0.8
118,0.795
119,0.8
120,0.7
121,0.75
122,0.795
123,0.785
124,0.825
125,0.7
126,0.74
127,0.78
128,0.8
129,0.8
130,0.68
131,0.75
132,0.78
133,0.81
134,0.79
135,0.69
136,0.735
137,0.8
138,0.765
139,0.795
140,0.715
141,0.76
142,0.77
143,0.78
144,0.785
145,0.7
146,0.74
147,0.78
148,0.775
149,0.78
150,0.675
151,0.76
152,0.785
153,0.8
154,0.8
155,0.695
156,0.755
157,0.78
158,0.8
159,0.795
160,0.725
161,0.77
162,0.77
163,0.785
164,0.77
165,0.7
166,0.78
167,0.725
168,0.81
169,0.78
170,0.675
171,0.765
172,0.77
173,0.815
174,0.78
175,0.71
176,0.78
177,0.805
178,0.8
179,0.79
180,0.67
181,0.79
182,0.76
183,0.815
184,0.775
185,0.7
186,0.75
187,0.785
188,0.785
189,0.79
190,0.755
191,0.78
192,0.8
193,0.805
194,0.81
195,0.74
196,0.805
197,0.805
198,0.8
199,0.815
200,0.5
201,0.515
202,0.595
203,0.56
204,0.595
205,0.605
206,0.595
207,0.645
208,0.61
209,0.675
210,0.605
211,0.625
212,0.67
213,0.635
214,0.655
215,0.63
216,0.615
217,0.68
218,0.695
219,0.655
220,0.63
221,0.645
222,0.66
223,0.72
