,raw
0,0.5
1,0.535
2,0.525
3,0.6
4,0.545
5,0.54
6,0.56
7,0.575
8,0.6
9,0.585
10,0.59
11,0.58
12,0.59
13,0.565
14,0.61
15,0.55
16,0.615
17,0.61
18,0.58
19,0.61
20,0.535
21,0.62
22,0.64
23,0.61
24,0.66
25,0.55
26,0.635
27,0.655
28,0.64
29,0.69
30,0.61
31,0.655
32,0.67
33,0.675
34,0.745
35,0.62
36,0.645
37,0.74
38,0.675
39,0.72
40,0.585
41,0.69
42,0.68
43,0.715
44,0.725
45,0.63
46,0.705
47,0.69
48,0.7
49,0.72
50,0.635
51,0.73
52,0.755
53,0.75
54,0.73
55,0.605
56,0.7
57,0.76
58,0.68
59,0.755
60,0.625
61,0.71
62,0.76
63,0.72
64,0.7
65,0.63
66,0.68
67,0.785
68,0.74
69,0.77
70,0.64
71,0.73
72,0.735
73,0.765
74,0.745
75,0.605
76,0.695
77,0.745
78,0.73
79,0.775
80,0.655
81,0.72
82,0.77
83,0.8
84,0.745
85,0.63
86,0.715
87,0.78
88,0.745
89,0.755
90,0.64
91,0.725
92,0.75
93,0.75
94,0.77
95,0.685
96,0.75
97,0.75
98,0.735
99,0.785
100,0.695
101,0.725
102,0.77
103,0.775
104,0.785
105,0.69
106,0.735
107,0.785
108,0.765
109,0.785
110,0.665
111,0.77
112,0.77
113,0.78
114,0.79
115,0.69
116,0.765
117,0.8
118,0.79
119,0.795
120,0.69
121,0.745
122,0.775
123,0.775
124,0.81
125,0.725
126,0.75
127,0.77
128,0.79
129,0.8
130,0.675
131,0.76
132,0.765
133,0.795
134,0.79
135,0.695
136,0.74
137,0.8
138,0.77
139,0.785
140,0.72
141,0.79
142,0.775
143,0.785
144,0.785
145,0.695
146,0.73
147,0.775
148,0.78
149,0.77
150,0.685
151,0.77
152,0.77
153,0.78
154,0.795
155,0.675
156,0.76
157,0.77
158,0.8
159,0.805
160,0.72
161,0.76
162,0.755
163,0.78
164,0.77
165,0.695
166,0.775
167,0.76
168,0.805
169,0.765
170,0.695
171,0.76
172,0.78
173,0.81
174,0.785
175,0.7
176,0.785
177,0.795
178,0.785
179,0.785
180,0.675
181,0.805
182,0.785
183,0.82
184,0.785
185,0.715
186,0.75
187,0.785
188,0.785
189,0.795
190,0.745
191,0.785
192,0.805
193,0.79
194,0.79
195,0.745
196,0.825
197,0.795
198,0.79
199,0.815
200,0.5
201,0.515
202,0.56
203,0.53
204,0.565
205,0.545
206,0.58
207,0.615
208,0.57
209,0.63
210,0.545
211,0.58
212,0.64
213,0.595
214,0.63
215,0.595
216,0.57
217,0.65
218,0.625
219,0.615
220,0.63
221,0.66
222,0.61
223,0.695
224,0.67
225,0.605
226,0.645
227,0.685
228,0.73
229,0.705
230,0.64
231,0.665
232,0.71
233,0.745
234,0.76
235,0.655
236,0.66
237,0.705
238,0.725
239,0.73
240,0.64
241,0.675
242,0.705
243,0.735
244,0.755
245,0.63
246,0.675
247,0.725
248,0.765
249,0.74
250,0.6
251,0.68
252,0.69
253,0.75
254,0.735
255,0.64
256,0.67
257,0.755
258,0.73
259,0.77
